---------------------------------------------------------------------------------
Geopotential Height (m) | Pressure (Pa) | Temperature (K) | Relative Humidity (%)
---------------------------------------------------------------------------------
Lon :  91.5  | Lat :  38.25
---------------------------------------------------------------------------------
Geopotential Height (m) | Pressure (Pa) | Temperature (K) | Relative Humidity (%)
---------------------------------------------------------------------------------
Lon :  94.5  | Lat :  38.25
---------------------------------------------------------------------------------
1425.37 100000 297.415 13.1506
3528.36 97500 296.39 12.9451
5687.76 95000 295.365 13.1362
7903.56 92500 294.278 13.3305
10167.7 90000 293.209 13.4424
12496.3 87500 292.047 13.9148
14889.4 85000 290.857 13.5415
17346.9 82500 289.719 13.729
19868.9 80000 288.476 13.8545
22471.4 77500 287.309 14.0657
25146.5 75000 286.132 13.8374
30770.6 70000 283.912 13.6851
36757.3 65000 278.711 20.1838
43090.4 60000 271.817 30.2888
49802.3 55000 265.232 41.777
56973.4 50000 258.982 56.4398
64724.7 45000 252.748 69.9704
73152.8 40000 245.684 64.1025
82426.9 35000 238.395 31.6506
92796.8 30000 229.963 43.5832
104561 25000 219.879 70.6956
111128 22500 215.503 80.2932
118363 20000 213.309 55.2884
126533 17500 213.082 25.8283
135953 15000 212.648 13.3877
147056 12500 211.634 8.89195
160552 10000 209.336 7.53414
181928 7000 209.819 4.30995
202402 5000 213.816 1.65594
234084 3000 218.902 0.520112
259828 2000 223.135 0.210855
304595 1000 226.634 0.0727194
327841 700 228.395 0.0440503
350200 500 235.582 0.0159692
385451 300 244.767 0.00396354
414289 200 250.907 0.00140682
465373 100 261.734 0.000273859
---------------------------------------------------------------------------------
Geopotential Height (m) | Pressure (Pa) | Temperature (K) | Relative Humidity (%)
---------------------------------------------------------------------------------
Lon :  95.25  | Lat :  38.25
---------------------------------------------------------------------------------
1594.58 100000 297.534 15.9826
3705.63 97500 296.357 15.9744
5856.97 95000 295.138 15.9037
8064.71 92500 293.945 15.9536
10328.8 90000 292.689 15.9033
12649.4 87500 291.414 16.073
15026.3 85000 290.076 16.3599
17467.7 82500 288.782 16.02
19981.7 80000 287.334 16.0947
22560.1 77500 285.905 15.8275
25219 75000 284.437 16.0386
30786.7 70000 282.168 15.4625
36741.2 65000 278.764 18.4182
43082.4 60000 272.512 27.5486
49810.3 55000 265.68 36.7613
56989.5 50000 258.854 55.3402
64724.7 45000 252.723 68.945
73160.8 40000 245.717 72.0869
82426.9 35000 238.06 31.8303
92780.7 30000 229.802 34.1769
104545 25000 219.888 63.5588
111119 22500 215.686 73.0159
118363 20000 213.684 50.9173
126549 17500 213.446 23.9572
135985 15000 212.853 12.7529
147088 12500 211.673 8.93882
160576 10000 209.153 7.64352
181944 7000 209.766 4.3451
202410 5000 213.752 1.67157
234084 3000 218.893 0.5206
259844 2000 223.164 0.210123
304595 1000 226.808 0.0712545
327841 700 228.245 0.0450269
350176 500 235.258 0.0167474
385411 300 244.864 0.00390632
414265 200 251.218 0.00134579
465389 100 261.76 0.000271952
---------------------------------------------------------------------------------
Geopotential Height (m) | Pressure (Pa) | Temperature (K) | Relative Humidity (%)
---------------------------------------------------------------------------------
Lon :  96  | Lat :  38.25
---------------------------------------------------------------------------------
1723.5 100000 297.753 18.4279
3826.49 97500 296.496 18.2849
5977.83 95000 295.193 18.3862
8177.51 92500 293.842 18.6098
10441.7 90000 292.486 18.333
12754.1 87500 291.117 18.4499
15123 85000 289.695 18.4615
17564.4 82500 288.246 18.5239
20062.2 80000 286.701 18.6572
22632.6 77500 285.12 18.0013
25283.5 75000 283.423 18.4019
30810.9 70000 280.391 18.8492
36725 65000 278.015 19.0061
43058.2 60000 273.352 25.0583
49802.3 55000 266.176 33.3063
56989.5 50000 258.947 52.4418
64716.6 45000 252.503 68.9763
73152.8 40000 245.768 77.9814
82410.8 35000 237.701 43.5803
92756.5 30000 229.637 30.7551
104512 25000 219.967 57.4182
111095 22500 215.983 65.3635
118355 20000 214.191 45.6321
126558 17500 213.869 22.0314
136009 15000 213.049 12.4424
147120 12500 211.684 8.86265
160600 10000 208.891 7.91305
181952 7000 209.738 4.36463
202410 5000 213.693 1.68719
234084 3000 218.902 0.521577
259852 2000 223.135 0.210733
304595 1000 226.987 0.0697897
327833 700 228.08 0.0461866
350152 500 234.89 0.0177545
385363 300 244.948 0.00384147
414241 200 251.557 0.00129047
465414 100 261.791 0.000269925
---------------------------------------------------------------------------------
Geopotential Height (m) | Pressure (Pa) | Temperature (K) | Relative Humidity (%)
---------------------------------------------------------------------------------
Lon :  96.75  | Lat :  38.25
---------------------------------------------------------------------------------
1747.67 100000 297.607 20.592
3850.66 97500 296.326 20.406
6002 95000 295.043 20.644
8201.68 92500 293.676 20.7836
10457.8 90000 292.309 20.4834
12770.3 87500 290.945 20.6198
15147.2 85000 289.536 20.6079
17580.6 82500 288.121 21.0571
20078.4 80000 286.491 21.0908
22648.7 77500 284.906 21.2454
25291.5 75000 283.312 21.6206
30818.9 70000 279.986 21.7711
